angDist,RA,Dec,RAhms,Decdms,HD,BD,CD,CPD,PP,EPP,PA,EPA,PA_G,GL,GB,Ebv,DPA,Idcat,Vmag,dist,SpType,polRefs,distCat,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,rest,b_rest,B_rest
1.042277,134.17451999999997,-85.6632,134d10m28.272s,-85d39m47.52s,79837.0,-999.9,-999.9,-85.00183,0.04,0.035,107.3,23.6,53.0,298.8505,-24.8156,0.0,-0.1,1,5.4,70.0,F0III,1.0E9,120,134.1707445080910,-85.6631522984029,0.003,0.002,0,5190163485512230400,134.16403088451,0.0820,-85.66300606034,0.1075,20.8838,0.0975,-117.914,0.161,33.972,0.205,0,1.39068e+08,2.20963e+05,5.330299,8.47904e+07,1.86729e+05,5.530521,7.34128e+07,2.11761e+05,5.097491,0.433031,,,0,7261.00,0.7817,0.3863,2.23,12.460,47.819649474222800,47.595964780524300,48.045408825248200
0.346292,24.365744999999997,-84.7696,24d21m56.682s,-84d46m10.56s,11025.0,-999.9,-999.9,-85.00017,0.03,0.035,48.0,30.3,61.4,301.6999,-32.2481,-0.1,0.0,1,5.7,79.4,K0III,1.0E9,10,24.3667860707090,-84.7696155986987,0.003,0.003,0,4616663752381098240,24.36843801797,0.1256,-84.76950448768,0.1100,9.5998,0.1404,34.976,0.208,25.807,0.222,0,1.30750e+08,1.66642e+05,5.397258,5.97146e+07,1.10906e+05,5.911188,9.49370e+07,2.56353e+05,4.818331,1.092856,25.10,0.85,10,5027.50,,,10.34,61.511,103.896363896687000,102.390423766036000,105.446448526388000
0.371130,323.47696499999995,-82.683,323d28m37.074s,-82d40m58.8s,203532.0,-999.9,-999.9,-83.00716,1.29,0.035,129.1,0.8,75.2,309.459,-31.7396,0.4,0.0,1,6.4,363.0,B3IV,1.0E9,120,323.4773907300515,-82.6830863387359,0.001,0.001,0,6348011489405515776,323.47814630271,0.0297,-82.68309690926,0.0361,3.4300,0.0381,22.350,0.058,-2.455,0.067,0,5.81362e+07,2.62061e+04,6.277249,3.96540e+07,6.69889e+04,6.355672,2.76242e+07,6.51307e+04,6.158696,0.196976,,,0,8236.00,0.6973,0.3535,,,289.153574599865000,285.975720744778000,292.401557741937000
0.073854,74.71244999999999,-82.4705,74d42m44.82s,-82d28m13.8s,34172.0,-999.9,-999.9,-82.00106,0.14,0.035,145.0,7.1,32.6,295.2281,-30.4686,0.0,0.0,1,5.8,302.0,G8III,1.0E9,10,74.7123662931244,-82.4705144679620,0.002,0.001,0,4621086228666064896,74.71221183967,0.0477,-82.47050306652,0.0557,9.6939,0.0535,-4.701,0.091,2.648,0.107,0,1.11180e+08,1.05709e+05,5.573297,5.15605e+07,9.88235e+04,6.070595,8.04266e+07,1.60087e+05,4.998421,1.072174,-4.70,0.20,14,5131.33,,,8.97,50.272,102.855198306975000,102.288450195783000,103.428148716604000
0.177586,157.96562999999998,-81.9211,157d57m56.268s,-81d55m15.96s,92029.0,-999.9,-999.9,-81.00449,0.55,0.035,142.8,1.8,110.6,298.0108,-20.4182,0.0,-0.1,1,7.1,302.0,B7.,1.0E9,10,157.9653112702860,-81.9210761387014,0.001,0.001,90,5198365189421316864,157.96489470083,0.0456,-81.92105664305,0.0358,2.7747,0.0355,-13.597,0.079,4.528,0.067,1,2.94550e+07,1.07053e+04,7.015469,2.18084e+07,3.90642e+04,7.004826,1.19314e+07,2.25484e+04,7.070189,-0.065363,,,0,8427.25,0.1920,0.1138,,,356.757176202432000,352.266010698158000,361.362236686757000
0.310600,161.44639499999997,-80.5402,161d26m47.022s,-80d32m24.72s,93845.0,-999.9,-999.9,-79.00556,0.08,0.035,68.1,12.3,39.3,297.7351,-18.9624,0.0,-0.1,1,4.4,155.0,B3V,1.0E9,120,161.4458717847575,-80.5401922795159,0.006,0.006,90,5198926661906152320,161.44489217988,0.1994,-80.54016104920,0.2117,9.1857,0.2273,-37.394,0.413,7.254,0.397,1,3.36161e+08,9.96725e+05,4.371997,2.59110e+08,3.15421e+05,4.317676,1.16201e+08,1.97428e+05,4.598894,-0.281218,,,0,8868.67,,,,,108.646595099430000,106.006755667810000,111.418807794681000
0.214040,215.59664999999998,-80.1089,215d35m47.94s,-80d06m32.04s,124771.0,-999.9,-999.9,-79.00755,0.67,0.035,111.6,1.5,131.9,306.9338,-17.9513,0.1,0.0,1,5.1,191.0,B3V,1.0E9,120,215.5966329402496,-80.1089613608043,0.008,0.007,90,5785028619357952000,215.59641529954,0.2659,-80.10901966631,0.2441,6.9644,0.2978,-8.683,0.491,-13.542,0.473,0,1.97508e+08,4.28645e+05,4.949401,1.43170e+08,4.16065e+05,4.961761,7.21023e+07,2.51326e+05,5.117048,-0.155287,,,0,9450.00,0.1577,0.0763,,,143.477302583766000,137.544112995227000,149.935686387412000
0.161380,160.4649,-79.7833,160d27m53.64s,-79d46m59.88s,93237.0,-999.9,-999.9,-79.00548,0.74,0.035,137.2,1.4,107.6,297.1847,-18.3887,0.1,-0.1,1,6.0,211.0,B5V,1.0E9,120,160.4646618007067,-79.7832873243838,0.002,0.002,90,5199170719128170112,160.46425881848,0.0599,-79.78326201558,0.0663,3.1445,0.0648,-16.601,0.128,5.878,0.109,0,7.99749e+07,5.82126e+04,5.930981,5.92766e+07,1.20608e+05,5.919179,3.29497e+07,1.34357e+05,5.967292,-0.048113,,,0,8655.50,0.1940,0.0980,,,315.331038703464000,308.967287906696000,321.957546612839000
1.392422,37.91716499999999,-79.1092,37d55m01.794s,-79d06m33.12s,16522.0,-999.9,-999.9,-79.00066,0.012,0.008,152.7,18.4,1.7,297.1907,-36.8768,-99.9,0.0,1,5.3,70.0,G4  III,1.0E14,60,37.9188829344886,-79.1094098803912,0.003,0.003,90,4632595744587030528,37.92160685228,0.1029,-79.10962463195,0.0882,11.5131,0.1014,119.530,0.221,-49.875,0.190,1,1.93777e+08,4.56489e+05,4.970111,8.51560e+07,1.77414e+05,5.525849,1.40631e+08,5.87156e+05,4.391719,1.134130,-15.39,0.19,14,4924.00,0.4460,0.1733,11.07,64.860,86.651539312214500,85.890841720096500,87.425587054152600
0.299245,83.90055,-78.8208,83d54m01.98s,-78d49m14.88s,38602.0,-999.9,-999.9,-78.00195,0.34,0.035,150.3,2.9,48.7,290.6802,-30.2246,0.0,-0.1,1,6.0,120.2,B9.,1.0E9,10,83.9008021370799,-78.8208680114487,0.003,0.002,0,4623792642178579584,83.90086667614,0.0682,-78.82075838332,0.1000,3.4769,0.0778,2.906,0.135,25.462,0.183,0,7.50112e+07,4.08162e+04,6.000550,5.36056e+07,1.14845e+05,6.028364,3.19091e+07,2.37785e+05,6.002132,0.026232,,,0,9407.50,0.4510,0.2230,,,285.451336881502000,279.202383990041000,291.981148150359000
0.561695,338.85983999999996,-78.7715,338d51m35.424s,-78d46m17.4s,213402.0,-999.9,-999.9,-79.01206,0.13,0.035,146.9,7.7,108.3,310.6889,-36.2229,0.2,-0.1,1,6.1,87.1,K2III,1.0E9,10,338.8605087363544,-78.7715855851624,0.001,0.001,0,6352296389298049664,338.86170116185,0.0338,-78.77161673345,0.0354,3.5101,0.0380,53.928,0.064,-7.234,0.069,0,1.04075e+08,8.54807e+04,5.644996,3.72943e+07,7.45281e+04,6.422282,9.09777e+07,2.47699e+05,4.864583,1.557700,-11.80,0.20,17,4289.40,0.2980,0.1440,39.29,470.849,282.605906671101000,279.578751111779000,285.698135610035000
1.611122,234.82757999999998,-77.9176,234d49m39.288s,-77d55m03.36s,138289.0,-999.9,-999.9,-77.01134,0.16,0.035,68.5,6.2,106.1,311.3905,-17.901,0.0,-0.1,1,6.2,416.9,K2II,1.0E9,10,234.8266524052634,-77.9180057619616,0.001,0.001,0,5779830433322743424,234.82502209330,0.0318,-77.91856934956,0.0311,9.2456,0.0375,-79.256,0.058,-130.896,0.059,1,8.69606e+07,4.31446e+04,5.840060,3.57972e+07,5.72548e+04,6.466765,7.00269e+07,1.03773e+05,5.148758,1.318007,13.62,0.14,16,4672.00,0.2060,0.1015,10.62,48.454,107.825262663354000,107.388290610745000,108.265741648459000
0.544865,179.647305,-77.8253,179d38m50.298s,-77d49m31.08s,104036.0,-999.9,-999.9,-77.00766,0.009,0.004,90.7,11.0,78.6,300.0683,-15.2485,0.02,0.0,1,6.7,80.0,,1.0E19,130,179.6468319669256,-77.8254159457107,0.001,0.001,0,5224212027732828672,179.64598907011,0.0358,-77.82544936726,0.0385,9.5657,0.0383,-41.286,0.065,-7.762,0.073,0,3.96425e+07,1.93149e+04,6.692965,2.62011e+07,4.40943e+04,6.805590,1.96533e+07,7.36947e+04,6.528334,0.277256,,,0,7908.28,0.7885,0.3803,2.24,17.606,104.226953466679000,103.809139744317000,104.648083750080000
0.192514,16.38036,-77.5846,16d22m49.296s,-77d35m04.56s,6783.0,-999.9,-999.9,-78.0003,0.35,0.035,112.0,2.9,116.4,301.9512,-39.5168,0.1,3.6,1,7.4,275.4,B8,1.0E9,10,16.3804353839970,-77.5846533168642,0.002,0.001,90,4635279171434162304,16.38057452681,0.0679,-77.58469906348,0.0465,3.4763,0.0560,6.948,0.127,-10.625,0.090,0,1.27637e+07,6.58919e+03,7.923422,9.36423e+06,1.46888e+04,7.922708,5.24194e+06,5.53986e+03,7.963190,-0.040482,,,0,9571.50,0.1907,0.0973,,,285.395512734809000,280.870484488710000,290.066028563943000
0.371688,175.38547499999999,-77.0546,175d23m07.71s,-77d03m16.56s,101727.0,-999.9,-999.9,-76.00686,0.015,0.026,140.3,41.8,124.3,298.9437,-14.7273,0.0,0.0,1,6.9,51.0,,1.0E19,130,175.3856451172877,-77.0546995325390,0.011,0.011,90,5224312014571559424,175.38608529484,0.3650,-77.05478176083,0.3592,9.5322,0.3774,22.903,0.729,-19.098,0.715,0,3.53114e+07,8.78866e+03,6.818577,2.07850e+07,2.79476e+04,7.057012,2.03817e+07,4.04246e+04,6.488820,0.568192,,,0,6586.00,,,2.98,15.031,104.898139535106000,100.867057628351000,109.258714874660000
4.001195,71.52830999999999,-77.022,71d31m41.916s,-77d01m19.2s,31378.0,-999.9,-999.9,-77.00188,0.038,0.024,94.5,17.5,161.0,289.6716,-33.2481,-99.9,-0.5,3,8.7,-999.9,-999,1.0E11,30,71.5289240794594,-77.0209003205081,0.003,0.003,0,4624990697536068096,71.52942170445,0.0892,-77.02063008058,0.0866,5.9723,0.0860,25.958,0.181,62.765,0.207,0,6.30937e+06,2.06989e+03,8.688401,3.66472e+06,6.44435e+03,8.941286,3.75467e+06,4.53429e+03,8.325492,0.615794,20.73,0.65,4,6313.47,0.9268,0.4473,2.19,6.855,166.688242896742000,164.314882513378000,169.129907056868000
3.577930,1.8019949999999998,-76.7307,1d48m07.182s,-76d43m50.52s,276.0,-999.9,-999.9,-77.00001,0.025,0.014,117.1,15.6,104.2,306.2318,-40.1128,0.0,0.1,3,7.7,80.0,-999,1.0E11,120,1.8062047114535,-76.7309303497801,0.001,0.001,90,4684110819285845376,1.80766953093,0.0359,-76.73095452005,0.0272,11.8798,0.0279,78.088,0.069,-5.613,0.053,0,1.97742e+07,5.44165e+03,7.448121,1.16676e+07,1.35476e+04,7.683933,1.14194e+07,1.97534e+04,7.117814,0.566120,23.93,0.21,11,6685.00,0.8660,0.3845,1.74,5.420,83.972697362774600,83.775203180148300,84.171108289338200
0.575718,138.05110499999998,-76.6629,138d03m03.978s,-76d39m46.44s,80194.0,-999.9,-999.9,-76.00574,0.04,0.035,62.1,23.6,12.6,291.4321,-18.9878,0.0,0.0,1,6.1,104.7,K1III,1.0E9,10,138.0515324780220,-76.6630287328790,0.001,0.001,0,5215370614213352832,138.05227338891,0.0326,-76.66321678344,0.0361,9.3191,0.0333,39.696,0.063,-43.676,0.066,0,8.93420e+07,6.48985e+04,5.810726,3.80756e+07,9.57442e+04,6.399770,7.00970e+07,1.28421e+05,5.147672,1.252098,1.87,0.13,15,4718.34,0.0400,0.0390,10.40,48.281,106.976693124576000,106.594650976385000,107.361434622309000
